,Id,Application,Parent Product,Setup Name,Task Category,Value Added Product,Task Type,Task ID,Task Key,Task Name,Task Desc,Effort Days,Vary By Client Size?,Prerequisites,Task Instructions,Additional Information,Task Owners,Distribution list,Ticket Type,Sample Ticket Number,Input to tickets,Helpful Links
10,11,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Configuration setup,BPS10,BPS-BPS-11,QA B1 Updates,QA B1 Updates is required when the configuration has to be changed in QA only and this will override the production overlay process. Open a Remedy request to modify the B1s to reflect the Application specific B1s in QA.,1,No,Initial B1 setup has to be complete.,"Raise a Remedy ticket to Update the B1s in QA.
Sample Ticket: RQST00005622937
Link:  https://remtier.broadridge.net/arsys/forms/remprod.broadridge.net/sprt_Service+Request/WebSR/?cacheid=5d583005
Run the edit report before assigning the ticket to B1 team and remove the errored B1s from the list.","QA B1 setup requires a spreadsheet containing all B1 updates along with a remedy request.

Within the QA B1 update spreadsheet, you will need the remedy number, the B1 number, Delete Indicator (if looking to delete a B1) and the value you are looking to add or delete. This will need to be attached to the remedy ticket.

B1 Update Procedure Document
 - BR-Track/Remedy Service Request link
 - Input Client Number and B1 update details
 - Implementation Date and Reason for Update
 - Approval Requirements

Cardlibs  are processed through the monthly BPS cycles for QA and Production.
See the BPS Cycle Schedule on the Broadridge Documentation website.

QA B1 Updates need to be submitted before 3PM EST to be processed on the same day.",B1Cardlib team,B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>,Remedy,RQST00005622937,"Input required
Excel spreadsheet with list of B1 card # and B1 values",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
11,12,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Configuration setup,BPS11,BPS-BPS-12,Prod B1 Updates,Production B1 updates are done when updating a B1 in any Production Stream. Updating B1s in production overlays in QA unless there is an override set in QA.,1,No,Initial B1 setup has to be complete.,"FOR PROD:
1. Identify B1s that need to be changed
2. Add those B1s and the corresponding values to a member
3. Run an offline B1 edit report from the job 'T.HAPAVEM.JOBLIB(B1EDIT)'. An offline edit report PDF will be produced and sent via email.
4. If the run is clean (e.g. no B1 rejects), save the pdf that is produced and attach it to the email to B1Cardlib Updates team. If there are rejects, fix the errors and rerun. 
5. Email to B1/Cardlib Updates <B1CardlibUpdates@broadridge.com> and copy BSG BPS Help Desk <BSGBPSHelpDesk@broadridge.com> with the following:
Subject: B1 Update Client NNN",B1 Updates in production need to be submitted before 1:30 PM EST to be processed on the same day. And they can be verified post 3PM EST.,B1Cardlib team,B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>,Email,NA,Clean B1 Edit report,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
12,13,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Entitlements setup,BPS12,BPS-BPS-13,Add client # to FRIG and FROG Security tables.,"Sets up capability to navigate between client 096 and new client green screens.
FRIG - allows access to new client using client 096 security table. Can be used to view access for another client environment.
FROG - allows access to new client and reads new client security table for entitlements. Can be used to update entitlements for new client.",1,No,"1. Client # should be added to CCT table.
2. Mainframe TSO ID
3. Online Region access","Raise a Break glass request to get FRIG FROG access using the below link
https://idm.broadridge.com/iam/im/broadridge/ui7/index.jsp",,Conversion Team,,Break Glass,,"Input required              Sample Input
Client ID : XXX
Region : TCICSQUA, CBTSST, CBTSS1…
Purpose: Need access to onboard new client XXX",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
13,14,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Core Setup,BPS13,BPS-BPS-14,Request GFW Phase IV establishment,Adds client to Global Framework platform and creates PhaseIV connectivity between BPS and GFW.,10,No,"1. Client # should be in place. 
2. Initial B1 setup should be complete.","Open a Metis ticket with Global Framework and Phase IV component to setup the GFW screen.
Provide QA and PROD Region names.
Sample: 
http://metis.broadridge.net:89/Workrequest/WRDetails/5205783","This is performed as part of the BPS Release cycle.
The Phase IV and GFW team coordinate interanally to establish the client instance on Global frame work.",GFW Level II support,GFW Level2 Support <GFWLevel2Support@broadridge.com>,Metis,5678162,"Input required	              Sample Input
M-Client number: 096
M-Client name:BR Test Client
M-Client online region:QA,Prod
M-Application names for GFW: BPS Connect, BPS Web, Ascendis Margin
Include note to create GFW BR/RR job",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
14,15,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Reports Setup,BPS14,BPS-BPS-15,Request Client to be added to BPS TRAC Partition,"Establishes client on TRAC records which is required for client to access their reports. Once established, you should update a small number of TRAC records to verify before updating bulk cards.",1,No,"Need the basic details like Client number, Client name, Geographical Region of client (US, Canada or EMEA) and the Environment where it needs to be setup.","Drop an email to Group, OSD <Group_OSD@broadridge.com> requesting them to add the Client# to TRAC partition table. Provide the Basic information mentioned in the Prerequisites
",,"Group, OSD","Group, OSD <Group_OSD@broadridge.com>",Email,,"Input required	              Sample Input
M-Client number               :096
M-Client name                 :BR internal Client
M-Client Address              :Newark 
M-Client Geographical region  :US 
M-Client online region        :QA,Prod",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
15,16,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Reports Setup,BPS15,BPS-BPS-16,Establish TRAC Headers,"Create a TRAC Header update by copying a model client, or adding each TRAC Header card individually as needed.",1,Yes,Client number should be added to TRAC partition.,"Modify the Control cards to have the correct TRAC headers for the new client.
Refer to the below header format to create a control card.
Run the TRACEDIT job 
Send an Email to B1cardlib team to add the TRAC headers
Sample : T.TMPSPS.SAMPLE.B1UPDT

Trac Header Format
1 – 5 Constant ‘TCREP’
6 – 22 Dataset name
24 - 26 Client number
28 - 30 Branch or group
31 - 33 Branch (when 28-30 is group)
34 - 38 Account number (used for IAC-TS)
39 Fill with zero (used for IAC-TS)
43 1 = print, 0 = do not print
44 1 = TRAC, 0 = do not TRAC
45 1 = TRAC, 0 = do not TRAC
48 - 54 TRAC
64 - 73 Carriage control
75 Frequency (D = daily, W = weekly, M = monthly, S = special)
77 D for delete
78 - 80 Transmit to client number",,B1Cardlib team,B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>,Email,,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
16,17,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Core Setup,BPS16,BPS-BPS-17,Request Client To Be Added to N&A Platform,"Add client to N&A setup tables. This setup enables addition of accounts to client instance.
",1,No,"Get the basic information like Client name, number, address ","Drop an Email to N&A Development (N&A DEV) <NADEV2@broadridge.com>  for client to be added to PBRCNTL (N&A Control Table) as well as N&A DB2 Partition Table
",,N&A product team/Dev team,"N&A Product <NAProduct@broadridge.com>
N&A DEV <NADEV2@broadridge.com>",Metis,5674177,"Input required	              Sample Input
M-Client number :096
M-Client name : BR Test Client
M-Client Trade Volume: 10,000
M-Number of accounts : 10,0000
M-Client online region: QA,Prod",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
17,18,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,File setup,BPS17,BPS-BPS-18,Extract Client specific B204 data to BIOS file ,Open a Metis ticket to extract new client's B204 file data into BIOS file.,2,No,The Client number should be created and Initial B1s have to be turned on to set up the B204 file.,"Open a metis for adding the new client number to existing JCL or creating a new JCL for extracting the client specific data into the bios file 
This data can be extracted from BPSA tables, refer BPSA Docs for daily transactions(B204) categories
Sample Metis: 4487962",This is done as part of BPS Release Cycle.,Appliccation product team,,Metis,4487962,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
18,19,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Transmission setup,BPS18,BPS-BPS-19,B204 BIOS File Transmission setup (Optional),"Create the transmission job for B204 BIOS file.
",2,No,NA,"Open an ITSM ticket to add the transmission job to transmit B204 file. 
Sample Ticket#: REQ000001129083
Link to ITSM: https://brhelix.onbmc.com/arsys/",This happens over a weekend for job setup in production region.,CIT Mainframe Transmissions,CIT MF Transmissions <CITMF.Transmissions@broadridge.com>,ITSM,,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
19,20,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,File setup,BPS19,BPS-BPS-20,B212 BIOS File creation (Optional),"Extract the data for new client from B212 file to BIOS file. Open a Metis ticket for the creation process.
",5,No,The Client number should be created prior to setting up the client in B212. B1s has to be turned on.,"Open a metis for adding the new client number to existing JCL or creating a new JCL for extracting the client specific data into the bios file 
This data can be extracted from BPSA tables, refer BPSA Docs for Margin(B212) categories

Sample Metis: 4657003",This is done as part of BPS Release Cycle.,Appliccation product team,,Metis,4657003,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
20,21,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Transmission setup,BPS20,BPS-BPS-21,B212 BIOS File Transmission setup (Optional),"Create the transmission job for B212 BIOS  file
",2,No,NA,"Open an ITSM ticket to transmit the B212 file.
Sample ITSM ticket: REQ000001129083
ITSM Link: https://brhelix.onbmc.com/arsys/",This happens over a weekend for job setup in production region.,CIT Mainframe Transmissions,CIT MF Transmissions <CITMF.Transmissions@broadridge.com>,ITSM,REQ000001143498,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
21,22,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,File setup,BPS21,BPS-BPS-22,CUSBAL BIOS File creation (Optional),Extract the client specific data from CUSBAL file to BIOS file for the new client.,4,No,The Client number should be created prior to setting up the client in CUSBAL and B1s to be setup,"Open a metis for adding the new client number to existing JCL or creating a new JCL for extracting the client specific data into the bios file 
This data can be extracted from BPSA tables, refer BPSA Docs for N&A categories 
CUSBAL.
Sample Metis: 4586095",This is done as part of BPS Release Cycle.,Application product team,,Metis,4586095,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
22,23,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Transmission setup,BPS22,BPS-BPS-23,CUSBAL BIOS File Transmission setup (Optional),"Create the transmission job for CUSBAL BIOS file.
",2,No,,"Open an ITSM ticket to transmit the CUSBAL file.
Sample Ticket: REQ000001129083
Link to ITSM : https://brhelix.onbmc.com/arsys/",This happens over a weekend for job setup in production region.,CIT Mainframe Transmissions,CIT MF Transmissions <CITMF.Transmissions@broadridge.com>,ITSM,REQ000001143498,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
23,24,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,File setup,BPS23,BPS-BPS-24,N&A Delta ASCII BIOS file creation (Optional),"Create the jobs for N&A Delta ASCII BIOS file creation.
",2,No,The Client number should be created prior to setting up the client in N&A Delta ASCII file.,"Open a metis for adding the new client number to existing JCL or creating a new JCL for extracting the client specific data into the bios file 
This data can be extracted from BPSA tables, refer BPSA Docs for N&A categories

Sample Metis: 4597380",This is done as part of BPS Release Cycle.,Application product team,,Metis,4597380,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
24,25,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Transmission setup,BPS24,BPS-BPS-25,N&A Delta ASCII BIOS file Transmission setup (Optional),"Create the Transmission job for N&A Delta ASCII  BIOS file.
",2,No,,"
Open an ITSM ticket to transmit the N&A Delta ASCII file.
Sample: REQ000001129083
Link to ITSM : https://brhelix.onbmc.com/arsys/",This happens over a weekend for job setup in production region.,CIT Mainframe Transmissions,CIT MF Transmissions <CITMF.Transmissions@broadridge.com>,ITSM,REQ000001143498,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
25,26,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Reports Setup,BPS25,BPS-BPS-26,Request Postedge instance setup,"Internal Remedy requests Postedge group to create Postedge instance for client to view ""Push Table"" updates dictate which TRAC reports will flow to Postedge/SFG/Client specific locations from BTS. RJCLSKEL table controls the connection between BTS and Postedge.
Setup the entitilements for the users",10,,The Trac headers has to be performed before requesting the Postedge.,"Collect the list of all Reports for this Client. Setup a meeting with the client & SME and go over the Reports that are required to be pulled from POSTEDGE/SFG/Client specific location.
Send out an email to Client Service Representative team with the requirements and get the WR created for the Post Edge instance setup. 
Send out an Email to Postedge Development team to setup the instance with the WR details.
Sample WR request ID: 
WR-Consolidated-213571
WR-Consolidated-213834","Reports to Postedge via NDM - Conversions need to submit an ITSM to CIT mainframe transmission team with snode, id, password and destination folder details. CIT mainframe team will create a skeletion for that particular client once this is done. Cold table will be updated with the trac names. For updating cold table another ITSM has to be submitted. 

Report to Postedge via SFTP - Conversions need to submit an ITSM to BSG ICD transmission team with client mailbox and point of contact details. ICD transmissions team will work with CIT mainframe team to create a skeletion to NDM the report from mainframe to SFG. ICD transmission team will then setup scripts with wildcard to move reports to client external mailbox. If anyone wants to add more reports in future then updating Cold table is suffice For updating cold table another ITSM has to be submitted. 

Report to client location - similar process as reports to postedge via NDM.
All the new reports pushed to Postedge should be configured to view them on the RMV sites","Postedge Web Development team, CIT Mainframe Transmissions, BSG ICD Transmission Solutions","PostEdge Web Development Team <PostEdgeWebDevTeam@broadridge.com>;
 <BSGICDTransmissionSolutions2@broadridge.com>
BRCC Digital Report Mining Support <BRCC-RMSupport@broadridge.com>","
Work Request","WR-Consolidated-213571
WR-Consolidated-213834",,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
26,27,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Reports Setup,BPS26,BPS-BPS-27,Request Postedge/gettracSet Up/Push table JCL/ Update,Internal Remedy requests to setup the Skelton JCL for Push table and push the reports to cold table,2 - 5 Days,No,The Trac headers has to be performed before requesting the Postedge.,"
1. Raise a Service request ticket under permanent job setup for  Push table Skeleton JCL.
Sample Ticket: 
REQ000001126885
2. Open a Service request under Adhoc Cold Table push category to push the reports to cold table.
Sample Ticket: 
REQ000000842506
Both the request should be opened through ONEBR Portal.
Link: https://brhelix-dwp.onbmc.com/dwp/app/#/catalog
                         OR
1. Raise a service request for BSG ICD Transmission team to push the reports to SFG.
Sample TIcket:
SFTP - Request number - 60346693 - work order WO0000002099327
NDM Setup -
REQ000001143498
","Reports to Postedge via NDM - Conversions need to submit an ITSM to CIT mainframe transmission team with snode, id, password and destination folder details. CIT mainframe team will create a skeletion for that particular client once this is done. Cold table will be updated with the trac names. For updating cold table another ITSM has to be submitted. 

Report to Postedge via SFTP - Conversions need to submit an ITSM to BSG ICD transmission team with client mailbox and point of contact details. ICD transmissions team will work with CIT mainframe team to create a skeletion to NDM the report from mainframe to SFG. ICD transmission team will then setup scripts with wildcard to move reports to client external mailbox. If anyone wants to add more reports in future then updating Cold table is suffice For updating cold table another ITSM has to be submitted. 

Report to client location - similar process as reports to postedge via NDM.
All the new reports pushed to Postedge should be configured to view them on the RMV sites","Postedge Web Development team, CIT Mainframe Transmissions, BSG ICD Transmission Solutions"," CIT Mainframe Transmissions <citmf.transmissions@broadridge.com>; BSG ICD Transmission Solutions <BSGICDTransmissionSolutions2@broadridge.com>
BRCC Digital Report Mining Support <BRCC-RMSupport@broadridge.com>","Service Request
","REQ000000842506
REQ000001126885",,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
27,28,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Reports Setup,BPS27,BPS-BPS-28,PostEdge Report configuration on Postedge site,Internal Remedy requests Postedge group to configure the missing reports in the PostEdge site,10,,Reports have to be pushed to Cold table,"
Once the reports are added to Push table, Collect the list of all Reports for this Client pushed to cold table and send an email to Postedge Report mining team to setup the new reports in PostEdge. Get in touch with Client Services team and open up a WR for the Postedge team. 
Sample WR: WR 218588","Reports to Postedge via NDM - Conversions need to submit an ITSM to CIT mainframe transmission team with snode, id, password and destination folder details. CIT mainframe team will create a skeletion for that particular client once this is done. Cold table will be updated with the trac names. For updating cold table another ITSM has to be submitted. 

Report to Postedge via SFTP - Conversions need to submit an ITSM to BSG ICD transmission team with client mailbox and point of contact details. ICD transmissions team will work with CIT mainframe team to create a skeletion to NDM the report from mainframe to SFG. ICD transmission team will then setup scripts with wildcard to move reports to client external mailbox. If anyone wants to add more reports in future then updating Cold table is suffice For updating cold table another ITSM has to be submitted. 

Report to client location - similar process as reports to postedge via NDM.
All the new reports pushed to Postedge should be configured to view them on the RMV sites","Postedge Web Development team, CIT Mainframe Transmissions, BSG ICD Transmission Solutions","PostEdge Web Development Team <PostEdgeWebDevTeam@broadridge.com>;
<BSGICDTransmissionSolutions2@broadridge.com>
BRCC Digital Report Mining Support <BRCC-RMSupport@broadridge.com>","
Work Request",WR 218588,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
